name,id,notes
account management,13563009,"update credit card, update email, unsubscribe email"
app navigation,12499043,"feature questions, finding meditations"
bug apple lock screen,15519568
bug report,13548119
cancel subscription,11890945
challenge,13548379,"meditation challenge event specific questions"
engagement,15744927,"desire to engage with content,community, etc."
feedback,13535231,"feedback, feature requests, content requests"
login issues,16548020
maven_draft,16226122
need based,16548045,"comps, complimentary subscriptions, finanical issues" 
onboarding,14392836
other,10403829
podcast,8608744
spam,16545102
sub acquisition,13543163
sub b2b,13556435
sub retention,13558280
subscription,13547726
technical,15857378
troubleshooting,5203995
update credit card,4983414
